filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,chroma_cqt_mean,chroma_cqt_var,genre_label,file_path
blues.00000,661500,0.34995052,0.08875216,0.130192,0.0028303715,1784.416545970319,129739.83727264128,2002.6571063943209,85829.34594927102,3806.4186497738488,901329.6602966429,0.08306639113293343,0.0007667342953635373,-4.5264358e-05,0.008171825,6.8419313e-06,0.005704282,123.046875,-113.619385,2570.8127,121.55303,295.7244,-19.151056,235.57982,42.345768,150.83536,-6.3711677,168.02464,18.613033,89.169586,-13.69206,67.60479,15.339378,69.06307,-12.283617,82.152504,10.973776,63.40047,-8.32241,61.810535,8.8067875,51.292,-3.665802,41.25163,5.745939,40.56098,-5.161711,49.823498,0.75029784,52.464138,-1.688358,36.564606,-0.40932855,41.643627,-2.2988691,55.076687,1.2199471,46.975636,0.53776044,0.053601414,blues,genres_original/blues/blues.00000.wav
blues.00001,661500,0.3409451,0.09496805,0.095891684,0.0023740323,1529.8713140945188,376011.6503525575,2038.6121427572907,213889.87408455403,3548.9868730952494,2976792.419586478,0.056044256724071206,0.0014485033470784323,0.00014215852,0.005096856,-0.00018055593,0.0030666417,67.99958881578948,-207.58151,7770.7725,123.99715,560.163,8.939115,572.70013,35.870758,264.85532,2.9199703,280.04752,21.518787,156.47044,-8.555368,200.96965,23.355938,142.37248,-10.101037,166.23215,11.906445,104.358574,-5.5581226,105.22371,5.3759418,96.29922,-2.237833,64.90086,4.2171254,73.177956,-6.0110474,52.484993,0.93266803,55.364292,-0.71702784,60.113293,0.2923333,48.137737,-0.2857169,51.13121,0.5321445,45.82323,0.4766203,0.057748366,blues,genres_original/blues/blues.00001.wav
blues.00002,661500,0.36356187,0.085277244,0.17549369,0.0027525946,1552.6377863181906,156538.29460476074,1747.382028301664,76150.68872314424,3041.0899442784926,782946.5225498029,0.07630074799245357,0.0010072891555751452,1.2605982e-06,0.016350074,-1.5652859e-05,0.0074620373,161.4990234375,-90.776344,3319.7935,140.44861,509.11203,-29.10056,411.987,31.68734,144.14764,-13.975971,156.0156,25.741686,74.46932,-13.644712,106.68324,11.623112,106.62771,-11.77592,65.68542,9.700466,67.845474,-13.115349,57.646442,5.785763,64.60155,-8.899733,60.476448,-1.0870236,57.74447,-9.216774,36.467384,2.4536486,40.620197,-7.721793,47.700275,-1.8164971,52.418175,-3.434354,46.630066,-2.2313912,30.626228,0.4436021,0.058804937,blues,genres_original/blues/blues.00002.wav
blues.00003,661500,0.40484834,0.09401797,0.14113921,0.006339857,1070.1100585189854,184506.6554762646,1596.2442041849345,166637.56835812717,2185.0617872303114,1494194.063112875,0.03330894446594427,0.0004230743810646026,3.7969105e-06,0.01906335,-1.7887825e-05,0.0027127906,63.02400914634146,-199.462,5495.972,150.09473,456.56662,5.649167,257.0472,26.870144,158.19778,1.7554408,267.90213,14.236881,126.88234,-4.8288727,156.06218,9.297849,81.17086,-0.753142,92.361916,8.147393,71.22305,-3.1952357,110.32543,6.085354,48.18353,-2.4761882,56.813396,-1.0762246,62.254208,-2.8760562,51.64638,0.7769089,44.456993,-3.3200555,50.23697,0.6372629,37.351917,-0.61750686,37.291164,-3.40694,31.988438,0.3168224,0.07123946,blues,genres_original/blues/blues.00003.wav
blues.00004,661500,0.3085982,0.08785044,0.0915404,0.0023050553,1835.5070084014953,343334.23703218694,1748.3674767249408,88460.06121566355,3581.003346162684,1572132.8216511165,0.1015001421004257,0.001953508818485157,-1.7863602e-05,0.004817581,-9.764648e-06,0.0030946692,135.99917763157896,-160.29185,5198.1445,126.19577,853.738,-35.6025,333.71176,22.151169,193.67331,-32.48764,336.45108,10.862022,134.79674,-23.357162,93.30083,0.50052303,124.761475,-11.8047695,129.98872,1.2038774,99.795204,-13.085074,80.303085,-2.8098488,86.49203,-6.935621,89.61349,-7.5592937,70.93246,-9.172152,75.769226,-4.5104084,86.01278,-5.4537363,75.32818,-0.9244677,53.577564,-4.4080763,62.928513,-11.701833,55.215122,0.49706376,0.06605979,blues,genres_original/blues/blues.00004.wav
blues.00005,661500,0.30241403,0.087562,0.10343772,0.0039837337,1831.9900685948742,1031295.6028286344,1729.4562589469804,201999.8081862162,3480.8539517523704,3276452.4461247083,0.09403986975135449,0.006237169845177415,1.2941227e-07,0.008084851,-2.6809037e-05,0.0032449372,69.83741554054055,-177.88876,7303.5063,118.18953,3197.6096,-17.55073,654.1477,30.753101,485.98712,-21.732107,433.48105,11.898545,266.0905,-20.73228,169.8476,3.176169,133.68483,-8.57577,172.3315,-0.94018424,100.12965,-11.773799,76.596054,-2.426076,78.50409,-9.342487,80.13263,-9.947082,47.553093,-3.9053469,60.051342,-5.568541,72.581894,-1.8399693,68.719826,-2.7841752,42.46666,-3.046112,39.829178,-8.115228,46.29248,0.39701492,0.072537765,blues,genres_original/blues/blues.00005.wav
blues.00006,661500,0.29140565,0.09400271,0.1416879,0.008782834,1459.0353761872718,438118.03207473544,1388.725515468785,185132.01320145073,2795.67476160386,1622690.8513254016,0.07302790308146284,0.0019095948180740175,-1.2958958e-05,0.016921,-2.038914e-05,0.005961976,71.77734375,-190.17502,9646.426,130.29242,1934.4312,-36.348473,1307.6438,33.02909,480.32092,11.085681,1083.5883,-0.5963726,280.22363,-20.882357,151.6883,0.27711603,102.89618,-6.5008707,131.14716,-5.515623,153.48946,-7.8452897,87.57829,-3.123599,64.22462,-6.595716,79.16398,-9.947577,63.074352,-6.540925,86.41678,-10.071382,83.32279,-10.912119,56.937695,-6.970003,38.2676,-3.4485128,48.093582,-6.498458,70.01958,0.37695682,0.08474727,blues,genres_original/blues/blues.00006.wav
blues.00007,661500,0.30731446,0.092849135,0.13174523,0.0055352026,1451.8494584581754,449937.66238267947,1577.5518583197502,168258.25607456916,2955.7654602239745,1630564.829502154,0.06143500266060371,0.001850010001473945,2.0959862e-05,0.013218546,-4.8619957e-05,0.0048555993,92.28515625,-179.42007,6575.454,136.4421,1479.9727,-26.644339,590.9773,39.97959,353.15915,5.3018146,650.4475,10.921237,136.36313,-20.555347,163.70146,8.507477,151.47868,-11.35436,172.02489,-3.469098,178.41544,-8.414114,147.66684,-6.956976,83.777534,-3.548349,93.33137,-8.051683,57.466633,-8.9604845,82.29772,-8.421077,70.47699,-10.5585985,52.032326,-10.790192,60.5192,-4.7007947,65.58995,-8.638816,56.33534,0.40670067,0.07678648,blues,genres_original/blues/blues.00007.wav
blues.00008,661500,0.40899816,0.086519666,0.14236063,0.0015028988,1719.2739373344168,163389.6533189732,2031.6873439502422,105613.2042500403,3781.5188003398316,1262995.5252842957,0.06402757957623839,0.0007318890633277895,5.906055e-07,0.0127121685,-1.7643551e-05,0.0034638147,83.35433467741936,-121.387115,2621.6409,122.505394,414.7292,-14.739394,341.3917,46.135292,193.81631,-8.160384,176.7232,20.17051,106.99097,-19.169321,57.671753,23.050188,76.91382,-11.825939,42.48063,21.17341,58.431217,-6.7202907,48.96014,7.0050187,56.24636,-12.739909,61.89646,5.064209,50.54634,-5.1730757,32.82994,-1.446995,50.560787,-7.0369287,28.892342,2.6948745,36.93147,3.4093323,33.72412,-2.6991909,36.09725,0.47961587,0.053326603,blues,genres_original/blues/blues.00008.wav
blues.00009,661500,0.2740142,0.09232655,0.08132098,0.004347414,1817.5295464146707,298256.53065985383,1973.6903092151892,114209.09382088842,3944.584480970637,1367139.0996854836,0.0792153184258901,0.001376557806953003,-2.193653e-06,0.007223858,-2.258015e-05,0.0016778964,80.74951171875,-213.20453,6133.131,115.15454,798.75323,-11.720503,668.95465,39.032555,350.82483,-20.357819,532.3013,13.089926,278.38568,-9.180816,126.545364,9.023639,67.952324,-14.101023,110.166046,4.283337,92.49028,-6.044196,84.86531,3.786368,104.4943,0.22368751,76.40331,-5.1144814,85.41577,-0.4145367,104.041725,-1.1848986,59.331203,-1.9183391,58.489872,-2.2957962,83.17791,2.89123,77.038994,-4.234533,91.51975,0.39062598,0.076281615,blues,genres_original/blues/blues.00009.wav
